id,rater_A_dim1,rater_B_dim1,consensus_dim1,rater_A_dim2,rater_B_dim2,consensus_dim2
0TGyCG6IxCdTECPtXNd8cqZ4MzrCu0kc,叙事断裂,叙事断裂,叙事断裂,是,是,是
0bS0JKrpeNMmFYEcfg5g7ZuFYicFjAth,叙事断裂,叙事断裂,叙事断裂,是,是,是
3ECmtesvGehKEMq3LnYuTvxcIfKgCEzK,叙事断裂,叙事断裂,叙事断裂,是,是,是
55kX9TuwN5Z4O93TaCmOnmcpt2zNs2NV,叙事断裂,叙事断裂,叙事断裂,是,是,是
60wxrmP1w6foNPUx0g6HsSYvjgX4dw3d,叙事断裂,叙事断裂,叙事断裂,是,是,是
9p6dBxR0Aq05mp3pMIWYCT9GUhVRqYdt,叙事断裂,叙事断裂,叙事断裂,是,是,是
BNVRMhe7j2xdrEPXMhH372DvtilDpL3V,合法转变,合法转变,合法转变,否,否,否
DikBQuNaK2xE0OPQrbgpIrzCwDHfvxAA,合法转变,合法转变,合法转变,否,是,DISAGREE
G02RY5ikbqlDnQIFcSZEQHjOjJX9B5hd,叙事断裂,叙事断裂,叙事断裂,是,是,是
GYabDZ5dTx3BbXPwPD4eOeU5KJgcGUJ4,叙事断裂,叙事断裂,叙事断裂,是,是,是
IumZzbE9WOaF5t1wHkaCfnGGo3joR618,叙事断裂,叙事断裂,叙事断裂,是,是,是
LM1rA9mCFxZbMWSApnfAI05sEIX7ytQA,合法转变,合法转变,合法转变,否,否,否
MqeUdAx2vyrzDxbJNcyb4gkLIvkLgKwS,叙事断裂,不确定,叙事断裂 (disagreement),是,是,是
klDt5pMGQtsdUV4CnqiYTx4lezRZuEjC,叙事断裂,叙事断裂,叙事断裂,是,是,是
njwU2lp9Y0XTZO02Y4GaOeDnj4SyJvaL,合法转变,合法转变,合法转变,否,否,否
qOC0n64bWa7gAld76fI51MoNzLtwbAEz,叙事断裂,叙事断裂,叙事断裂,是,是,是
qstLAh7HE8XI2JEAaJftr0SromtIQguj,叙事断裂,叙事断裂,叙事断裂,是,是,是
rbwrLr2U88LN0Yb8wqrOUFxeKI8I1G0U,合法转变,不确定,合法转变 (disagreement),是,不确定,DISAGREE
wMcpfuUR61ZNA1gVNm2W9KL6Cg0mPfZ1,叙事断裂,叙事断裂,叙事断裂,是,是,是
yC4rkn3AqodMA5me0g4Kd26TW0aeUJpk,叙事断裂,叙事断裂,叙事断裂,是,是,是
