id,n_turns,shift_idx,artifact,B_verdict,C_verdict
0TGyCG6IxCdTECPtXNd8cqZ4MzrCu0kc,12,6,none,NARRATIVE_BREAK,NARRATIVE_BREAK
0bA4YqbEaw2ldHM92l3qYYQvSHrcoSbR,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
0bS0JKrpeNMmFYEcfg5g7ZuFYicFjAth,10,5,exact_duplicate,NARRATIVE_BREAK,NARRATIVE_BREAK
0gYFI2XUJg2KqGpioG0j6z54ditjKaML,10,5,none,LEGAL_SHIFT,LEGAL_SHIFT
1AcqO5PvJvUYaa5GHJhFcSDTcJW6AE14,10,5,none,NARRATIVE_BREAK,NARRATIVE_BREAK
1UCiymMx7Nu4GCwy5BPs3ku6ZyzfqdB2,10,5,none,NARRATIVE_BREAK,LEGAL_SHIFT
2evl9d7J1CYsWCtYuGK6Htzht98UrN0t,10,5,none,NARRATIVE_BREAK,NARRATIVE_BREAK
2gBk5yqO4966vPK6AccV3dy3uPy8MDKB,14,7,none,LEGAL_SHIFT,NARRATIVE_BREAK
3ECmtesvGehKEMq3LnYuTvxcIfKgCEzK,12,6,none,NARRATIVE_BREAK,UNCERTAIN
3Mf4wvgMnTjzzNF2eXevCFtae5UdGH9z,12,6,none,LEGAL_SHIFT,LEGAL_SHIFT
3V776TFrP7mbIBx5Efzlst7bwxVTMFfv,10,5,none,LEGAL_SHIFT,LEGAL_SHIFT
4jx9VuTBRdkXq3SHozoF6mLH1PfkfBV7,16,8,none,NARRATIVE_BREAK,NARRATIVE_BREAK
55kX9TuwN5Z4O93TaCmOnmcpt2zNs2NV,14,7,high_similarity,NARRATIVE_BREAK,UNCERTAIN
60wxrmP1w6foNPUx0g6HsSYvjgX4dw3d,6,3,high_similarity,UNCERTAIN,UNCERTAIN
6dKLhxxThKBgING2Edcv41UwuSw1xZEk,16,8,none,NARRATIVE_BREAK,NARRATIVE_BREAK
6gmTD9CYxY1g0QjpXT7DEfbpqi5nTt4x,10,5,none,NARRATIVE_BREAK,UNCERTAIN
6sVZck9hM4WyWi3a0uULqzKCZvp1spzN,10,5,none,NARRATIVE_BREAK,NARRATIVE_BREAK
7DtwQHRbOoC9p120Gb29tRhtatpOdW7j,6,3,none,NARRATIVE_BREAK,NARRATIVE_BREAK
8HWtffhYybVQPRVyMWjevh9bwsF8JBT0,12,6,none,NARRATIVE_BREAK,LEGAL_SHIFT
9p6dBxR0Aq05mp3pMIWYCT9GUhVRqYdt,18,9,exact_duplicate,LEGAL_SHIFT,NARRATIVE_BREAK
ATTqzTxwWfKbpyxa0ciXWHHLzsqzUnmw,10,5,none,NARRATIVE_BREAK,NARRATIVE_BREAK
AiYMiLrxoqamB5RTLeFTBPFncgUkFkpO,6,3,none,NARRATIVE_BREAK,NARRATIVE_BREAK
BNVRMhe7j2xdrEPXMhH372DvtilDpL3V,10,5,none,LEGAL_SHIFT,NARRATIVE_BREAK
CERCL79NT6lbFaIdHxDsCv4pXQU1t0D4,10,5,none,NARRATIVE_BREAK,NARRATIVE_BREAK
D1Ox5taMjPYHIQL7yqaQGx7Sv33oUzpp,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
DikBQuNaK2xE0OPQrbgpIrzCwDHfvxAA,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
EODooI5L4KS6lnJWDpdy7CeF8sdRge0j,12,6,none,NARRATIVE_BREAK,NARRATIVE_BREAK
ERrjJJemCXLqHzwCooOBKSCWDrF0I2Gp,12,6,none,NARRATIVE_BREAK,LEGAL_SHIFT
ETzZfhfoIK8arE2Wcl2IcdoUnRTanV47,10,5,none,LEGAL_SHIFT,NARRATIVE_BREAK
G02RY5ikbqlDnQIFcSZEQHjOjJX9B5hd,14,7,none,LEGAL_SHIFT,LEGAL_SHIFT
GYabDZ5dTx3BbXPwPD4eOeU5KJgcGUJ4,6,3,none,NARRATIVE_BREAK,NARRATIVE_BREAK
I9gYh8mifu4imHKltsUrl2NusHbKMFCu,6,3,none,NARRATIVE_BREAK,NARRATIVE_BREAK
